999$a,999$b,020$a,245$a,999$i,999$n,999$o,999$p,999$r,999$s,999$d,999$f,998$x
Note,111-7590941-5877815,1849355118,"Practicing New Worlds: Abolition and Emergent Strategies (Emergent Strategy, 9)",002630095,adrienne marie brown pop-up display,pcard purchase,19.69,Yes,Sociology,100,rnlds,02/21/2024
Note,111-7590941-5877815,1849354502,"Fables and Spells: Collected and New Short Fiction and Poetry (Emergent Strategy Series, 6)",002630095,adrienne marie brown pop-up display,pcard purchase,13.59,Yes,Fiction,100,rnlds,02/21/2024
Note,111-7590941-5877815,1849353344,"Feminisms in Motion: Voices for Justice, Liberation, and Transformation",002630095,adrienne marie brown pop-up display,pcard purchase,20.00,Yes,WGSS,100,rnlds,02/21/2024
Note,111-7590941-5877815,1849353972,"Undrowned: Black Feminist Lessons from Marine Mammals (Emergent Strategy, 2)",002630095,adrienne marie brown pop-up display,pcard purchase,13.12,Yes,General Science,100,rnlds,02/21/2024
