999$a,999$b,020$a,245$a,999$i,999$n,999$o,999$p,999$r,999$s,999$d,999$f,998$x
Interested User | Note,111-5463057-9073849,1982137045,Against the Loveless World: A Novel,2630095,Rush for November display,pcard purchase,15.30,Yes,Fiction,100,rnlds,20231031
Interested User | Note,111-5463057-9073849,1503613577,Justice for Some: Law and the Question of Palestine,2630095,Rush for November display,pcard purchase,21.60,Yes,Fiction,100,rnlds,20231031
Interested User | Note,111-5463057-9073849,1328915859,Salt Houses,2630095,Rush for November display,pcard purchase,11.59,Yes,Fiction,100,rnlds,20231031
